amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,zeroOriginBalance,type,Real_Fraud,Predicted_Fraud,Fraud_Probability
45892.4,0.0,0.0,378969.14,608714.72,False,CASH_OUT,0,0,0.0
80937.64,0.0,0.0,2102849.68,2183787.32,False,CASH_OUT,0,0,0.0
231679.79,52405.0,0.0,3888158.43,4119838.22,True,CASH_OUT,0,0,0.0
274208.45,0.0,0.0,287095.89,561304.34,False,CASH_OUT,0,0,0.0
66645.16,151.0,0.0,2788199.44,2854844.6,True,CASH_OUT,0,0,0.0
302157.83,3640.0,0.0,1283789.45,1585947.28,True,CASH_OUT,0,0,0.0
78154.07,12277.0,0.0,62079.85,140233.93,True,CASH_OUT,0,0,0.0
32766.07,14211.0,0.0,1934769.76,1967535.83,True,CASH_OUT,0,0,0.04
167861.7,0.0,0.0,42264595.33,42432457.02,False,CASH_OUT,0,0,0.0
21488.66,0.0,0.0,961677.76,983166.42,False,CASH_OUT,0,0,0.0
69032.99,0.0,0.0,942757.79,1011790.78,False,CASH_OUT,0,0,0.0
100840.48,0.0,0.0,863424.54,964265.02,False,CASH_OUT,0,0,0.0
279516.39,0.0,0.0,638282.76,917799.16,False,CASH_OUT,0,0,0.0
139702.61,100943.0,0.0,157628.44,297331.04,True,CASH_OUT,0,0,0.0
166613.25,517833.0,351219.75,36740.8,203354.05,False,CASH_OUT,0,0,0.0
205411.58,131519.17,0.0,3111430.97,3316842.55,True,CASH_OUT,0,0,0.0
71369.83,0.0,0.0,1462846.09,1534215.93,False,CASH_OUT,0,0,0.0
54366.25,0.0,0.0,201950.08,256316.33,False,CASH_OUT,0,0,0.0
68291.66,0.0,0.0,1238644.96,1306936.62,False,CASH_OUT,0,0,0.0
371905.28,32239.0,0.0,0.0,371905.28,True,CASH_OUT,0,0,0.0
244265.5,14109.0,0.0,1719850.16,1964115.66,True,CASH_OUT,0,0,0.0
491052.78,20746.29,0.0,633411.69,1124464.47,True,TRANSFER,0,0,0.0
168823.83,0.0,0.0,1642589.86,1811413.7,False,CASH_OUT,0,0,0.0
10119.82,0.0,0.0,685134.57,695254.39,False,CASH_OUT,0,0,0.0
194396.2,22096.0,0.0,566201.81,760598.01,True,CASH_OUT,0,0,0.0
157824.78,0.0,0.0,2661402.45,2819227.23,False,CASH_OUT,0,0,0.0
215990.86,1092.0,0.0,0.0,215990.86,True,CASH_OUT,0,0,0.0
193056.08,16255.0,0.0,0.0,193056.08,True,CASH_OUT,0,0,0.0
41292.18,65793.58,24501.41,9058463.36,9099755.53,False,CASH_OUT,0,0,0.01
144278.58,2039.0,0.0,20388.66,173751.35,True,CASH_OUT,0,0,0.0
222857.64,50474.0,0.0,140554.47,363412.11,True,CASH_OUT,0,0,0.0
2277119.81,0.0,0.0,4671167.64,6948287.46,False,TRANSFER,0,0,0.0
271756.09,9419.0,0.0,2742832.76,3014588.86,True,CASH_OUT,0,0,0.0
330915.98,0.0,0.0,1721647.56,2052563.54,False,CASH_OUT,0,0,0.0
240762.79,41190.0,0.0,0.0,240762.79,True,CASH_OUT,0,0,0.0
217090.79,382969.78,165878.99,72123.0,289213.79,False,TRANSFER,0,0,0.0
159963.97,0.0,0.0,1134001.54,1622289.73,False,CASH_OUT,0,0,0.0
453700.08,0.0,0.0,13281933.01,14139761.48,False,CASH_OUT,0,0,0.0
1331086.47,15432.0,0.0,59949.22,1313362.94,True,TRANSFER,0,0,0.0
20418.93,356.0,0.0,724296.03,744714.96,True,CASH_OUT,0,0,0.0
268410.74,943047.0,674636.26,307604.41,576015.15,False,CASH_OUT,0,0,0.0
147041.11,0.0,0.0,4911978.64,5059019.76,False,CASH_OUT,0,0,0.0
128763.16,300123.0,171359.84,766073.91,894837.07,False,CASH_OUT,0,0,0.0
164119.9,18917.51,0.0,234013.42,398133.32,True,CASH_OUT,0,0,0.0
179681.19,26113.38,0.0,7093621.56,7273302.76,True,CASH_OUT,0,0,0.0
70446.43,15995.0,0.0,337816.0,408262.43,True,CASH_OUT,0,0,0.0
82907.0,0.0,0.0,1336398.89,1419305.89,False,CASH_OUT,0,0,0.0
64772.39,10531.0,0.0,1460779.51,1525551.9,True,CASH_OUT,0,0,0.0
858069.66,0.0,0.0,931555.93,1789625.6,False,TRANSFER,0,0,0.0
79493.03,0.0,0.0,113845.08,193338.11,False,CASH_OUT,0,0,0.0
111900.86,38599.0,0.0,0.0,111900.86,True,CASH_OUT,0,0,0.0
189433.76,479.0,0.0,966808.87,1156242.63,True,CASH_OUT,0,0,0.0
49154.44,14841.0,0.0,7394345.92,7443500.36,True,CASH_OUT,0,0,0.0
186686.13,668483.0,481796.87,12137.88,198824.01,False,CASH_OUT,0,0,0.0
182610.14,0.0,0.0,927586.1,1110196.25,False,CASH_OUT,0,0,0.0
901001.1,120477.81,0.0,911243.34,1812244.44,True,TRANSFER,0,0,0.0
165321.39,0.0,0.0,1860794.24,2026115.63,False,CASH_OUT,0,0,0.0
229333.36,104778.0,0.0,0.0,229333.36,True,CASH_OUT,0,0,0.0
9784.48,179.0,0.0,0.0,9784.48,True,TRANSFER,0,0,0.0
126401.69,56704.0,0.0,0.0,126401.69,True,CASH_OUT,0,0,0.02
109791.41,20698.0,0.0,0.0,109791.41,True,CASH_OUT,0,0,0.0
119362.97,72451.0,0.0,436522.43,555885.39,True,CASH_OUT,0,0,0.0
324049.09,258403.0,0.0,334966.91,947219.25,True,CASH_OUT,0,0,0.03
138997.07,0.0,0.0,2497782.91,2636779.98,False,CASH_OUT,0,0,0.0
51170.54,0.0,0.0,80251.14,131421.68,False,CASH_OUT,0,0,0.0
71325.36,0.0,0.0,2489203.81,2560529.18,False,CASH_OUT,0,0,0.0
9995.57,0.0,0.0,283223.27,293218.83,False,CASH_OUT,0,0,0.0
448508.16,0.0,0.0,1066385.06,1514893.23,False,TRANSFER,0,0,0.0
439166.28,0.0,0.0,1093541.71,1532707.98,False,CASH_OUT,0,0,0.0
1627300.28,429.0,0.0,1406206.54,3033506.82,True,TRANSFER,0,0,0.0
22779.9,0.0,0.0,230926.75,253706.65,False,CASH_OUT,0,0,0.0
13971.46,19582.0,5610.54,4124588.41,4138559.86,False,CASH_OUT,0,0,0.0
132021.95,4243.0,0.0,5070426.26,5374680.21,True,CASH_OUT,0,0,0.0
58590.78,0.0,0.0,8145362.51,8203953.3,False,CASH_OUT,0,0,0.0
242855.07,0.0,0.0,351745.95,594601.02,False,CASH_OUT,0,0,0.0
110434.69,0.0,0.0,5774109.49,5884544.18,False,CASH_OUT,0,0,0.0
150193.08,20965.0,0.0,407032.6,557225.69,True,CASH_OUT,0,0,0.0
272621.97,48631.0,0.0,22594.79,295216.76,True,CASH_OUT,0,0,0.0
269080.69,3140.88,0.0,17421810.72,17690891.41,True,CASH_OUT,0,0,0.0
149376.8,264064.0,114687.2,130027.5,279404.3,False,CASH_OUT,0,0,0.0
242746.5,50375.0,0.0,24080.97,266827.47,True,TRANSFER,0,0,0.0
274220.53,246.0,0.0,0.0,274220.53,True,CASH_OUT,0,0,0.0
239020.37,246.0,0.0,27145465.25,27384485.62,True,CASH_OUT,0,0,0.0
153240.42,0.0,0.0,275463.31,428703.73,False,TRANSFER,0,0,0.0
114092.44,21144.0,0.0,0.0,114092.44,True,CASH_OUT,0,0,0.0
29065.38,0.0,0.0,397659.22,426724.6,False,CASH_OUT,0,0,0.0
2750.12,0.0,0.0,215601.69,218351.81,False,CASH_OUT,0,0,0.0
9565220.77,0.0,0.0,9904646.87,19469867.64,False,TRANSFER,0,0,0.0
81067.66,50218.0,0.0,3860282.53,3941350.18,True,CASH_OUT,0,0,0.0
875213.55,0.0,0.0,4309830.28,5185043.84,False,TRANSFER,0,0,0.0
597186.51,0.0,0.0,3714635.23,4311821.75,False,TRANSFER,0,0,0.0
580555.05,0.0,0.0,670555.32,1251110.37,False,TRANSFER,0,0,0.0
130139.38,864890.0,734750.62,1088363.93,1218503.31,False,CASH_OUT,0,0,0.0
73932.2,0.0,0.0,274526.87,348459.08,False,CASH_OUT,0,0,0.0
202657.3,0.0,0.0,212612.33,415269.63,False,CASH_OUT,0,0,0.0
151506.34,370.0,0.0,281529.2,433035.54,True,CASH_OUT,0,0,0.0
519429.89,21330.0,0.0,0.0,519429.89,True,TRANSFER,0,0,0.0
405670.13,81841.0,0.0,44900.14,450570.28,True,CASH_OUT,0,0,0.0
49485.48,0.0,0.0,643667.6,693153.07,False,CASH_OUT,0,0,0.0
122426.33,50137.0,0.0,0.0,122426.33,True,CASH_OUT,0,0,0.0
806863.3,806863.3,0.0,2344186.16,3151049.45,True,CASH_OUT,1,1,0.46
45993.85,7264.0,0.0,307267.17,353261.02,True,CASH_OUT,0,0,0.0
583111.55,0.0,0.0,1810408.61,2393520.16,False,TRANSFER,0,0,0.0
193147.98,0.0,0.0,594460.09,787608.08,False,CASH_OUT,0,0,0.0
43831.3,24118.0,0.0,241091.52,284922.82,True,CASH_OUT,0,0,0.0
412039.23,0.0,0.0,907562.59,1319601.82,False,CASH_OUT,0,0,0.0
19701.65,900.0,0.0,0.0,19701.65,True,CASH_OUT,0,0,0.0
78756.17,21880.0,0.0,352890.67,431646.85,True,CASH_OUT,0,0,0.0
82260.32,0.0,0.0,171891.23,254151.55,False,CASH_OUT,0,0,0.0
80902.16,0.0,0.0,281214.6,362116.76,False,CASH_OUT,0,0,0.0
382042.38,0.0,0.0,773857.56,1155899.93,False,CASH_OUT,0,0,0.0
161141.78,0.0,0.0,260555.55,421697.33,False,CASH_OUT,0,0,0.0
115819.72,0.0,0.0,577799.63,693619.35,False,CASH_OUT,0,0,0.0
180378.99,0.0,0.0,642968.36,823347.36,False,TRANSFER,0,0,0.0
164835.46,0.0,0.0,202708.0,348204.37,False,CASH_OUT,0,0,0.0
138769.35,0.0,0.0,8840145.02,8978914.37,False,TRANSFER,0,0,0.0
207971.64,8791.0,0.0,40371.52,248343.15,True,CASH_OUT,0,0,0.0
267774.84,5774.0,0.0,0.0,267774.84,True,CASH_OUT,0,0,0.0
27561.59,68249.99,40688.41,0.0,27561.59,False,CASH_OUT,0,0,0.0
112090.39,0.0,0.0,10568342.79,10680433.18,False,CASH_OUT,0,0,0.0
